,underlying_price,base_volatility,skew,kurtosis
2019-08-21,20618.57,0.1608687857142857,0.050251142857142855,0.005475714285714306
2019-08-22,20628.01,0.15327526785714285,0.04514132142857144,0.0073767499999999875
2019-08-23,20710.91,0.15434771428571428,0.036077714285714296,0.003447607142857162
2019-08-26,20261.04,0.18543732142857142,0.04538028571428576,0.006825017857142873
2019-08-27,20456.08,0.17127350000000002,0.053344750000000024,0.002860124999999991
2019-08-28,20479.42,0.16782892857142856,0.046308839285714276,0.003956330357142879
2019-08-29,20460.93,0.17394385714285715,0.051651642857142854,0.0012108214285714292
2019-08-30,20704.37,0.15822392857142858,0.04971998214285711,0.00568456249999999
2019-09-02,20620.19,0.16303564285714284,0.051640928571428574,0.003841107142857181
2019-09-03,20625.16,0.15736862499999998,0.04150099999999998,0.009796000000000027
2019-09-04,20649.14,0.15252092857142857,0.03030782142857144,0.0033114107142857008
2019-09-05,21085.94,0.14134873214285715,0.026205767857142848,0.003936205357142869
2019-09-06,21199.57,0.14551264285714285,0.0357355,0.0020552499999999807
2019-09-09,21318.42,0.13298057142857142,0.03090841071428574,0.008968116071428583
2019-09-10,21392.1,0.130019,0.029428499999999996,0.004391250000000013
2019-09-13,21988.29,0.13799614285714285,0.02119819642857143,0.0046910625000000095
2019-09-17,22001.32,0.14215699999999998,0.02415062499999998,0.0032245625000000278
2019-09-18,21960.71,0.14505535714285717,0.023685499999999998,0.0059953214285713985
2019-09-19,22044.45,0.14160378571428572,0.020349428571428574,0.004251839285714293
2019-09-20,22079.09,0.13768375,0.012748892857142868,0.003279946428571434
2019-09-24,22098.84,0.1436175,0.017836750000000012,0.0038138749999999944
2019-09-25,22020.15,0.15182589285714287,0.044913321428571434,0.007247749999999997
2019-09-26,22048.24,0.1478867857142857,0.034648928571428594,0.004454607142857142
2019-09-27,21878.9,0.14614482142857144,0.0460007857142857,0.00905257142857141
2019-09-30,21755.84,0.15247042857142856,0.03647692857142859,0.008617035714285737
2019-10-01,21885.24,0.14383225,0.017876874999999987,0.003799312499999985
2019-10-02,21778.61,0.1499949642857143,0.04419560714285714,0.004349803571428584
2019-10-03,21341.74,0.17475483928571428,0.06361076785714284,0.0037772589285714475
2019-10-04,21410.2,0.16253900000000002,0.05899150000000003,0.00522932142857141
2019-10-07,21375.25,0.16413869642857146,0.04019162500000001,0.005017026785714251
2019-10-08,21587.78,0.156605,0.028617500000000018,0.0014112500000000028
2019-10-11,21798.87,0.15314861428571427,0.042350857142857135,0.006384985714285724
2019-10-15,22207.21,0.13647769999999998,0.031231499999999995,0.0057184500000000416
2019-10-16,22472.92,0.13859504285714286,0.02148194285714286,0.0017117428571428728
2019-10-17,22451.86,0.1355547,0.030154299999999995,0.004768121428571442
2019-10-18,22492.68,0.1362422857142857,0.03358557142857144,0.004349571428571453
2019-10-21,22548.9,0.13570852857142857,0.023306471428571424,0.006140050000000008
